timestamp,gpu_util_percent,temperature_c,power_w
2026-08-05T17:47:56Z,0,59,13.94
2026-08-05T17:47:57Z,0,59,14.38
2026-08-05T17:47:58Z,0,59,14.75
2026-08-05T17:47:59Z,0,60,14.40
2026-08-05T17:48:00Z,57,61,19.86
2026-08-05T17:48:01Z,96,70,42.37
2026-08-05T17:48:02Z,96,68,70.32
2026-08-05T17:48:03Z,96,72,62.44
2026-08-05T17:48:05Z,96,64,32.90
2026-08-05T17:48:06Z,96,65,32.90
2026-08-05T17:48:07Z,96,65,32.94
2026-08-05T17:48:08Z,96,65,30.16
2026-08-05T17:48:09Z,96,65,32.46
2026-08-05T17:48:10Z,96,65,32.67
2026-08-05T17:48:11Z,96,65,32.61
2026-08-05T17:48:12Z,96,66,34.19
2026-08-05T17:48:13Z,96,66,35.46
2026-08-05T17:48:14Z,96,66,33.21
2026-08-05T17:48:15Z,96,66,27.03
2026-08-05T17:48:16Z,96,67,29.46
2026-08-05T17:48:17Z,96,66,35.92
2026-08-05T17:48:18Z,96,67,36.46
2026-08-05T17:48:19Z,96,67,36.32
2026-08-05T17:48:20Z,96,68,37.87
